                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9065,                 3.0609,                 1.8366,                0.49882,                0.61413,                0.51232,                0.29978,                 1.2154,                 1.7906,                 1.2398,               0.070732,               0.003252,               0.003252
                      1,                  1.497,                 1.8471,                 1.4646,                0.50885,                0.66213,                0.55325,                0.32216,                 1.3954,                 1.6884,                 1.3124,               0.040667,              0.0065202,              0.0065202
                      2,                 1.4163,                 1.6755,                 1.3774,                0.52145,                0.73279,                 0.5231,                0.31058,                 1.3558,                 1.4248,                 1.2765,               0.010535,              0.0097223,              0.0097223
                      3,                 1.4632,                 1.5466,                 1.3948,                0.47149,                0.66147,                 0.4915,                0.26116,                 1.6428,                 1.8863,                  1.507,               0.009703,               0.009703,               0.009703
                      4,                 1.4351,                 1.4334,                 1.3965,                0.46794,                0.63932,                0.47485,                0.28884,                 1.4293,                 1.6779,                 1.3474,               0.009703,               0.009703,               0.009703
                      5,                 1.4152,                  1.432,                 1.3945,                0.60836,                0.77387,                 0.6438,                 0.3954,                 1.2098,                 1.3727,                 1.2462,               0.009604,               0.009604,               0.009604
                      6,                 1.4159,                 1.3958,                 1.4087,                0.51787,                0.76389,                0.62134,                0.38891,                 1.3021,                 1.4144,                  1.311,               0.009505,               0.009505,               0.009505
                      7,                 1.4145,                 1.3884,                 1.4318,                0.56468,                0.77717,                0.57517,                0.27046,                 1.7416,                 1.5135,                 1.5884,               0.009406,               0.009406,               0.009406
                      8,                 1.3794,                 1.3766,                 1.3902,                0.53274,                0.81101,                0.57409,                0.33207,                 1.5038,                 1.3329,                 1.3757,               0.009307,               0.009307,               0.009307
                      9,                 1.3663,                 1.3477,                 1.3834,                   0.54,                0.81914,                0.61942,                0.35252,                 1.5014,                  1.418,                 1.3851,               0.009208,               0.009208,               0.009208
                     10,                 1.3676,                 1.2475,                 1.3691,                0.51654,                0.81889,                0.58479,                0.33467,                 1.5344,                 1.5773,                 1.4444,               0.009109,               0.009109,               0.009109
                     11,                 1.3365,                 1.3166,                 1.3616,                0.59974,                0.91195,                0.65518,                0.39344,                 1.4148,                 1.2162,                 1.3805,                0.00901,                0.00901,                0.00901
                     12,                 1.3363,                 1.2679,                 1.3709,                0.62576,                0.88225,                0.66133,                0.38489,                 1.4483,                 1.1558,                 1.3671,               0.008911,               0.008911,               0.008911
                     13,                 1.3023,                 1.2663,                 1.3478,                0.58961,                0.87681,                 0.6374,                0.34149,                 1.5545,                 1.3008,                 1.4389,               0.008812,               0.008812,               0.008812
                     14,                 1.2995,                  1.237,                 1.3532,                0.58668,                 0.8901,                0.65977,                0.38155,                  1.523,                  1.187,                 1.4223,               0.008713,               0.008713,               0.008713
                     15,                 1.2897,                 1.2592,                 1.3531,                0.62666,                0.81884,                0.66807,                0.37758,                 1.4828,                 1.2264,                 1.4152,               0.008614,               0.008614,               0.008614
                     16,                 1.2629,                  1.248,                 1.3363,                0.60472,                 0.8276,                0.64382,                0.36952,                  1.452,                 1.1768,                 1.3587,               0.008515,               0.008515,               0.008515
                     17,                  1.264,                 1.2208,                 1.3321,                0.60695,                0.87474,                0.65768,                0.37605,                 1.5082,                 1.1388,                 1.4019,               0.008416,               0.008416,               0.008416
                     18,                 1.2391,                 1.1903,                 1.3138,                0.59413,                 0.8901,                0.66718,                0.39318,                 1.4178,                 1.1576,                  1.331,               0.008317,               0.008317,               0.008317
                     19,                 1.2135,                  1.155,                 1.2884,                0.58166,                0.88225,                0.62333,                0.33073,                 1.6148,                 1.1716,                 1.4542,               0.008218,               0.008218,               0.008218
                     20,                 1.2046,                 1.1576,                 1.2828,                0.61503,                0.85749,                0.64077,                0.36792,                 1.4859,                 1.1123,                 1.3966,               0.008119,               0.008119,               0.008119
                     21,                 1.1978,                 1.0919,                 1.2881,                0.54329,                0.80798,                0.57292,                0.29632,                 1.6986,                  1.226,                 1.5145,                0.00802,                0.00802,                0.00802
                     22,                 1.1948,                 1.1591,                 1.2696,                 0.5957,                0.85701,                0.63046,                0.36072,                 1.4655,                 1.1556,                  1.398,               0.007921,               0.007921,               0.007921
                     23,                 1.1806,                 1.0967,                 1.2819,                0.61387,                0.81401,                0.64115,                0.37238,                 1.4657,                  1.236,                 1.4054,               0.007822,               0.007822,               0.007822
                     24,                 1.1673,                 1.1354,                 1.2762,                0.58493,                0.82186,                0.62748,                0.37466,                 1.4421,                 1.1552,                  1.374,               0.007723,               0.007723,               0.007723
                     25,                 1.1633,                 1.0829,                 1.2528,                 0.5829,                0.84355,                0.62987,                0.34082,                 1.5701,                 1.1246,                 1.4487,               0.007624,               0.007624,               0.007624
                     26,                 1.1309,                 1.0707,                  1.231,                0.56415,                0.83575,                0.58109,                0.29256,                 1.7539,                  1.146,                 1.5998,               0.007525,               0.007525,               0.007525
                     27,                 1.1215,                 1.0986,                 1.2467,                0.56205,                0.81854,                0.60543,                 0.2854,                 1.7424,                 1.1592,                 1.5853,               0.007426,               0.007426,               0.007426
                     28,                 1.1081,                 1.0276,                 1.2326,                0.62462,                0.93176,                0.69846,                0.42106,                  1.316,                 1.0875,                 1.2891,               0.007327,               0.007327,               0.007327
                     29,                 1.0899,                 1.0263,                 1.2266,                0.61227,                0.93475,                0.68562,                0.39463,                 1.4421,                 1.0835,                 1.3439,               0.007228,               0.007228,               0.007228
                     30,                 1.0922,                 1.0634,                 1.2227,                0.59949,                0.82028,                0.66385,                0.35211,                 1.6387,                 1.0972,                 1.4985,               0.007129,               0.007129,               0.007129
                     31,                 1.0793,                 1.0401,                   1.23,                0.61189,                0.87241,                0.68418,                 0.3992,                 1.5177,                 1.0586,                 1.4078,                0.00703,                0.00703,                0.00703
